player,pos,age,tm,g,gs,mp,pts,orb,drb,trb,ast,stl,blk,tov,pf,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,ft,fta,ft%,efg,ts,ftr,3par,fg+,2p+,3p+,efg+,ft+,ts+,ftr+,3par+,on-off,ortg,drtg,per,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ows,dws,ws,ws/48,obpm,dbpm,bpm,vorp,team_seed,win_percentage,year
Danny Green,SG,36.0,PHI,2.0,0.0,9.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.304,0.335,0.087,0.261,64.0,76.0,0.0,56.0,128.0,58.0,36.0,66.0,-5.7,34.0,116.0,1.0,0.0,13.4,6.6,6.5,2.8,0.0,0.0,4.8,0.0,0.0,0.0,-0.035,-7.4,0.7,-6.6,0.0,7,0.563,2024
Ryan Arcidiacono,PG,29.0,NYK,20.0,0.0,2.3,0.0,0.0,0.4,0.4,0.2,0.1,0.0,0.1,0.3,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,34.0,114.0,-1.6,0.0,22.1,11.0,10.4,2.3,0.0,25.0,7.7,-0.1,0.1,-0.1,-0.09,-11.5,1.9,-9.6,-0.1,3,0.6,2024
Dmytro Skapintsev,C,25.0,NYK,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.563,0.61,0.292,0.443,102.0,106.0,99.0,103.0,110.0,105.0,119.0,112.0,-29.8,0.0,126.0,-18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,0.0,0.0,0.0,-0.476,-16.0,-9.8,-25.8,0.0,3,0.6,2024
Kaiser Gates,SF,27.0,NOP,1.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.389,0.426,0.189,0.111,80.0,73.0,55.0,71.0,98.0,73.0,77.0,28.0,-17.4,0.0,120.0,-19.0,0.0,16.7,8.4,0.0,0.0,0.0,0.0,25.0,-0.1,0.0,-0.1,-0.55,-18.6,-10.1,-28.7,-0.1,6,0.6,2024
Andrew Funk,SG,24.0,CHI,4.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.535,0.546,0.09,0.658,89.0,103.0,95.0,98.0,91.0,94.0,37.0,166.0,27.3,0.0,109.0,-4.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,14.8,0.0,0.0,0.0,-0.248,-14.1,0.2,-13.8,0.0,9,0.475,2024
Pete Nance,PF,23.0,CLE,7.0,0.0,2.1,0.0,0.0,0.3,0.3,0.0,0.1,0.0,0.1,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.3,0.0,0.566,0.594,0.181,0.39,104.0,103.0,104.0,104.0,106.0,102.0,74.0,99.0,-22.8,0.0,113.0,-9.1,0.0,16.0,8.2,0.0,3.4,0.0,20.5,14.5,-0.1,0.0,-0.1,-0.307,-16.0,-2.7,-18.7,-0.1,4,0.588,2024
Javonte Smart,PG,24.0,PHI,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.58,0.176,0.12,113.0,103.0,102.0,103.0,93.0,100.0,72.0,30.0,-302.7,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,-6.2,-2.1,-8.3,0.0,7,0.563,2024
Malcolm Cazalon,SG,22.0,DET,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533,0.624,0.58,0.184,104.0,95.0,111.0,97.0,110.0,108.0,237.0,47.0,72.3,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-5.9,-3.2,-9.2,0.0,15,0.163,2024
Jalen Crutcher,PG,24.0,NOP,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.583,0.615,0.203,0.525,101.0,104.0,109.0,107.0,110.0,106.0,83.0,133.0,45.1,0.0,124.0,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0.0,0.0,0.0,-0.329,-18.4,-7.8,-26.3,0.0,6,0.6,2024
Ron Harper Jr.,PF,23.0,TOR,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.568,0.583,0.104,0.641,94.0,103.0,104.0,104.0,102.0,100.0,43.0,162.0,-106.5,227.0,130.0,0.1,0.0,0.0,0.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,-11.7,2.8,-8.9,0.0,12,0.313,2024
