player,pos,age,tm,g,gs,mp,pts,orb,drb,trb,ast,stl,blk,tov,pf,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,ft,fta,ft%,efg,ts,ftr,3par,fg+,2p+,3p+,efg+,ft+,ts+,ftr+,3par+,on-off,ortg,drtg,per,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ows,dws,ws,ws/48,obpm,dbpm,bpm,vorp,team_seed,win_percentage,year
Nikola Vučević,C,33.0,CHI,75.0,73.0,34.2,17.9,2.7,7.8,10.5,3.3,0.7,0.8,1.6,2.5,7.7,15.9,0.482,1.2,4.1,0.291,6.5,11.8,0.548,1.4,1.7,0.817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.9,115.0,117.0,17.6,9.4,28.2,18.6,15.3,1.0,2.4,8.6,23.6,2.1,2.9,5.0,0.093,0.7,-0.7,0.0,1.3,9,0.475,2024
Bradley Beal,SG,30.0,PHO,51.0,51.0,33.2,17.8,1.0,3.3,4.3,5.0,0.9,0.5,2.5,2.4,6.9,13.7,0.505,1.8,4.4,0.416,5.1,9.3,0.547,2.1,2.6,0.809,0.611,0.618,0.088,0.724,98.0,114.0,111.0,112.0,91.0,107.0,36.0,183.0,-1.0,116.0,119.0,15.6,3.7,11.3,7.7,22.5,1.4,1.3,14.3,22.8,1.7,1.5,3.2,0.092,0.4,-0.7,-0.3,0.7,7,0.588,2024
Klay Thompson,SF,33.0,GSW,75.0,61.0,29.7,17.7,0.4,2.8,3.3,2.3,0.7,0.4,1.5,1.7,6.4,14.7,0.433,3.5,8.9,0.386,2.9,5.7,0.507,1.6,1.7,0.922,0.516,0.54,0.123,0.474,90.0,86.0,103.0,94.0,110.0,93.0,50.0,120.0,-8.0,115.0,122.0,13.8,1.8,11.4,6.6,11.2,1.1,1.3,9.0,24.4,1.7,1.4,3.1,0.067,0.9,-1.5,-0.6,0.8,8,0.563,2024
Brandon Miller,SF,21.0,CHO,73.0,67.0,32.5,17.4,0.8,3.5,4.3,2.4,0.9,0.6,1.8,2.5,6.5,14.7,0.44,2.5,6.7,0.374,4.0,8.0,0.495,1.9,2.3,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,123.0,13.1,2.9,13.1,7.9,11.7,1.4,1.7,10.2,24.1,-0.6,1.2,0.6,0.012,-0.9,-1.6,-2.6,-0.3,13,0.25,2024
Jordan Poole,SG,24.0,WAS,78.0,66.0,30.1,17.4,0.4,2.3,2.7,4.4,1.1,0.3,2.4,3.1,6.3,15.2,0.413,2.4,7.2,0.326,3.9,8.0,0.492,2.5,2.8,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5,103.0,124.0,12.1,1.6,9.1,5.2,21.4,1.7,0.9,12.8,26.6,-1.8,0.9,-0.9,-0.019,-2.1,-1.9,-4.0,-1.2,14,0.188,2024
Fred VanVleet,PG,29.0,HOU,73.0,73.0,36.8,17.4,0.5,3.4,3.8,8.1,1.4,0.8,1.7,2.5,5.8,13.9,0.416,3.1,8.0,0.387,2.7,5.9,0.454,2.7,3.1,0.86,0.345,0.366,0.095,0.357,60.0,48.0,91.0,63.0,96.0,63.0,39.0,90.0,6.4,124.0,117.0,16.7,1.4,10.6,6.0,31.3,1.9,2.0,10.1,19.9,5.0,3.1,8.1,0.145,2.6,0.7,3.3,3.6,11,0.488,2024
Tobias Harris,PF,31.0,PHI,68.0,68.0,33.8,17.2,1.1,5.3,6.5,3.1,1.0,0.6,1.3,1.6,6.6,13.6,0.486,1.3,3.7,0.348,5.3,9.9,0.537,2.7,3.1,0.875,0.599,0.617,0.097,0.862,89.0,95.0,112.0,110.0,114.0,106.0,40.0,218.0,1.9,119.0,117.0,16.4,3.8,19.0,11.3,13.9,1.5,1.7,8.2,21.0,2.7,2.6,5.4,0.112,0.9,-0.2,0.7,1.6,7,0.563,2024
Jordan Clarkson,SG,31.0,UTA,55.0,19.0,30.6,17.1,0.9,2.5,3.4,5.0,0.6,0.1,2.7,1.5,6.1,14.8,0.413,1.7,5.6,0.294,4.5,9.2,0.485,3.2,3.7,0.881,0.569,0.588,0.334,0.002,120.0,105.0,0.0,104.0,81.0,101.0,137.0,0.0,-1.5,108.0,127.0,12.7,3.5,9.7,6.7,24.7,1.0,0.3,13.9,26.4,-0.1,0.1,0.0,0.0,-1.3,-3.2,-4.5,-1.1,12,0.375,2024
Immanuel Quickley,PG-SG,24.0,TOR,67.0,37.0,29.2,17.0,0.3,3.6,3.8,4.9,0.7,0.1,1.5,1.7,5.7,13.2,0.435,2.5,6.4,0.394,3.2,6.8,0.473,3.1,3.6,0.851,0.642,0.674,0.318,0.189,129.0,124.0,91.0,118.0,101.0,116.0,130.0,48.0,2.1,122.0,122.0,16.8,1.0,15.1,7.9,24.5,1.3,0.5,9.0,24.1,3.4,1.2,4.6,0.112,2.2,-0.8,1.4,1.7,12,0.313,2024
Deandre Ayton,C,25.0,POR,54.0,54.0,32.6,16.9,3.3,8.0,11.2,1.6,1.0,0.8,1.8,2.0,7.9,13.7,0.574,0.0,0.1,0.125,7.8,13.5,0.579,1.2,1.5,0.823,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,0.6,116.0,115.0,19.2,11.3,31.7,20.8,8.8,1.6,2.2,11.1,21.2,1.6,2.3,3.9,0.106,0.7,-0.2,0.5,1.1,14,0.263,2024
Myles Turner,C,27.0,IND,75.0,75.0,27.0,16.9,1.5,5.4,6.9,1.3,0.5,1.9,1.4,3.1,6.1,11.7,0.519,1.5,4.2,0.356,4.6,7.5,0.61,3.2,4.1,0.773,0.581,0.571,0.203,0.0,123.0,107.0,0.0,106.0,51.0,98.0,83.0,0.0,3.7,120.0,117.0,18.9,6.5,24.2,15.3,6.3,0.9,5.4,9.4,23.4,3.0,2.3,5.2,0.124,0.8,-0.1,0.7,1.4,5,0.575,2024
Bogdan Bogdanović,SG,31.0,ATL,77.0,31.0,30.5,16.9,0.7,2.8,3.5,3.2,1.2,0.3,1.4,2.3,6.0,14.0,0.428,3.1,8.2,0.374,2.9,5.8,0.504,1.9,2.0,0.917,0.567,0.564,0.394,0.0,120.0,104.0,0.0,104.0,61.0,97.0,161.0,0.0,11.0,117.0,123.0,14.6,2.5,11.2,6.7,15.0,2.0,1.0,8.8,22.5,2.5,1.2,3.6,0.075,0.8,-0.7,0.2,1.3,10,0.45,2024
Michael Porter Jr.,SF,25.0,DEN,79.0,79.0,31.8,16.8,1.3,5.7,7.1,1.5,0.5,0.6,1.1,1.8,6.5,13.3,0.486,2.7,6.8,0.401,3.7,6.5,0.576,1.1,1.4,0.832,0.564,0.581,0.098,0.622,95.0,105.0,102.0,103.0,108.0,100.0,40.0,157.0,7.6,120.0,116.0,15.8,5.3,21.7,13.7,6.6,0.9,1.7,7.5,20.9,3.0,3.0,6.0,0.115,1.4,-1.1,0.2,1.4,1,0.7,2024
James Harden,PG,34.0,LAC,71.0,71.0,34.6,16.7,0.5,4.7,5.2,8.6,1.1,0.8,2.6,1.8,4.9,11.5,0.429,2.6,6.8,0.383,2.3,4.7,0.497,4.2,4.8,0.88,0.415,0.43,0.131,0.32,77.0,72.0,84.0,76.0,77.0,74.0,53.0,81.0,5.2,127.0,118.0,18.6,1.8,16.4,9.4,33.5,1.6,2.1,16.0,20.8,5.7,2.4,8.0,0.157,3.8,0.3,4.1,3.8,4,0.638,2024
Chet Holmgren,C,21.0,OKC,80.0,80.0,29.7,16.5,1.6,6.3,7.9,2.5,0.7,2.3,1.6,2.4,6.1,11.7,0.526,1.6,4.3,0.372,4.5,7.4,0.616,2.7,3.4,0.79,0.5,0.5,0.0,0.0,105.0,92.0,0.0,91.0,0.0,86.0,0.0,0.0,2.8,123.0,111.0,20.2,6.7,24.9,16.2,11.6,1.1,7.3,10.8,21.7,4.1,4.1,8.2,0.165,1.7,1.4,3.2,3.1,3,0.688,2024
Jarrett Allen,C,25.0,CLE,75.0,75.0,31.7,16.4,3.2,7.4,10.5,2.7,0.7,1.1,1.5,1.9,6.7,10.6,0.625,0.0,0.1,0.0,6.7,10.6,0.63,3.1,4.1,0.752,0.625,0.658,0.383,0.008,132.0,116.0,0.0,114.0,96.0,114.0,157.0,2.0,5.3,132.0,113.0,21.6,12.6,27.8,20.3,13.2,1.1,3.1,11.1,19.6,6.2,3.8,10.0,0.202,2.0,0.9,2.9,3.0,4,0.588,2024
Jonathan Kuminga,PF,21.0,GSW,73.0,45.0,26.4,16.3,1.3,3.6,4.9,2.1,0.7,0.5,1.7,2.3,6.2,11.8,0.531,0.7,2.3,0.321,5.5,9.5,0.582,3.1,4.1,0.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,119.0,119.0,17.1,5.8,16.3,11.1,12.1,1.4,1.6,11.0,24.7,2.5,1.7,4.2,0.105,0.1,-0.5,-0.4,0.8,8,0.563,2024
Jalen Johnson,SF,22.0,ATL,56.0,52.0,33.7,16.0,1.3,7.4,8.7,3.6,1.2,0.8,1.8,2.4,6.4,12.5,0.511,1.3,3.6,0.355,5.1,9.0,0.574,1.9,2.6,0.728,0.559,0.575,0.117,0.937,81.0,113.0,101.0,102.0,101.0,99.0,48.0,237.0,0.9,118.0,118.0,16.4,4.4,26.9,15.2,15.3,1.7,2.2,11.6,19.3,1.9,1.8,3.7,0.095,0.4,0.8,1.2,1.5,10,0.45,2024
Shaedon Sharpe,SG,20.0,POR,32.0,25.0,33.1,15.9,1.3,3.7,5.0,2.9,0.9,0.4,2.3,2.8,5.5,13.6,0.406,1.9,5.6,0.333,3.6,7.9,0.457,3.1,3.7,0.824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3,106.0,121.0,11.4,4.5,14.4,9.1,13.7,1.3,1.0,12.9,22.6,-0.3,0.7,0.4,0.018,-1.9,-0.9,-2.8,-0.2,14,0.263,2024
Austin Reaves,SG,25.0,LAL,80.0,55.0,32.2,15.8,0.7,3.7,4.4,5.6,0.8,0.3,2.1,1.8,5.6,11.5,0.483,1.9,5.1,0.363,3.7,6.4,0.578,2.9,3.4,0.859,0.493,0.525,0.34,0.264,98.0,102.0,58.0,90.0,83.0,91.0,139.0,67.0,-3.0,120.0,120.0,15.4,2.8,13.1,8.2,23.8,1.2,0.7,14.1,20.5,3.4,1.9,5.4,0.1,0.8,-0.4,0.4,1.5,10,0.563,2024
De'Andre Hunter,SF,26.0,ATL,55.0,35.0,29.6,15.8,0.5,3.4,4.0,1.5,0.7,0.3,1.5,2.6,5.4,11.7,0.465,2.1,5.4,0.389,3.3,6.3,0.53,2.9,3.4,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,117.0,124.0,13.1,2.1,14.2,7.9,7.4,1.2,0.9,10.0,20.8,1.5,0.6,2.1,0.063,-0.8,-1.4,-2.2,-0.1,10,0.45,2024
Evan Mobley,PF,22.0,CLE,48.0,48.0,30.8,15.8,2.2,7.3,9.5,3.2,0.9,1.5,1.9,2.7,6.4,11.1,0.581,0.5,1.2,0.386,6.0,9.9,0.604,2.5,3.5,0.713,0.522,0.571,0.268,0.4,94.0,92.0,101.0,95.0,111.0,98.0,109.0,101.0,-2.6,122.0,110.0,20.2,9.1,28.4,18.9,15.9,1.5,4.3,12.8,21.0,2.4,2.7,5.1,0.166,0.9,2.1,3.0,1.9,4,0.588,2024
Malcolm Brogdon,PG,31.0,POR,39.0,25.0,28.7,15.7,0.7,3.1,3.8,5.5,0.7,0.2,1.5,1.5,5.6,12.7,0.44,2.1,5.1,0.412,3.5,7.6,0.458,2.4,3.0,0.819,0.238,0.238,0.0,0.381,50.0,71.0,0.0,44.0,0.0,41.0,0.0,96.0,7.7,121.0,122.0,17.0,2.8,13.9,8.0,30.8,1.2,0.6,9.9,23.3,1.8,0.7,2.5,0.106,2.7,-0.7,2.0,1.1,14,0.263,2024
Keldon Johnson,SF,24.0,SAS,69.0,27.0,29.5,15.7,1.4,4.1,5.5,2.8,0.7,0.3,1.4,2.2,5.7,12.5,0.454,1.8,5.3,0.346,3.8,7.2,0.533,2.5,3.2,0.792,0.553,0.564,0.084,0.609,93.0,105.0,99.0,101.0,98.0,97.0,34.0,154.0,-2.8,114.0,121.0,14.2,5.4,16.5,10.9,14.2,1.2,0.8,9.4,22.2,1.3,1.4,2.7,0.064,-0.3,-1.4,-1.7,0.2,15,0.25,2024
Kelly Oubre Jr.,SF,28.0,PHI,66.0,50.0,30.3,15.5,1.4,3.6,5.0,1.5,1.2,0.7,1.3,2.9,5.7,12.9,0.443,1.5,4.8,0.312,4.2,8.2,0.519,2.5,3.3,0.751,0.482,0.493,0.073,0.618,77.0,61.0,104.0,88.0,96.0,85.0,30.0,156.0,-6.6,110.0,117.0,13.6,5.4,14.1,9.7,7.4,1.9,2.1,8.2,22.5,0.4,2.3,2.7,0.064,-1.5,-0.8,-2.3,-0.1,7,0.563,2024
Jaden Ivey,SG,21.0,DET,75.0,59.0,28.8,15.5,1.1,2.3,3.5,3.9,0.7,0.5,2.5,2.7,5.5,12.7,0.43,1.6,4.8,0.343,3.8,7.9,0.483,3.0,4.0,0.752,0.566,0.578,0.067,0.667,92.0,100.0,105.0,104.0,112.0,100.0,28.0,169.0,2.0,106.0,123.0,12.6,4.7,9.8,7.2,20.3,1.2,1.6,14.7,25.2,-0.7,1.1,0.3,0.007,-1.3,-1.7,-3.0,-0.5,15,0.163,2024
Bojan Bogdanović,PF-SF,34.0,DET,55.0,27.0,26.2,15.4,0.4,2.3,2.7,1.7,0.5,0.1,1.8,1.7,5.5,12.0,0.457,2.3,5.9,0.395,3.2,6.1,0.516,2.1,2.6,0.786,0.563,0.56,0.387,0.0,119.0,103.0,0.0,103.0,61.0,97.0,158.0,0.0,-9.4,109.0,123.0,12.6,1.8,10.8,6.3,10.3,1.0,0.3,12.1,24.7,0.2,0.7,0.9,0.03,-0.7,-2.5,-3.2,-0.4,15,0.163,2024
Malik Monk,SG,25.0,SAC,72.0,0.0,26.0,15.4,0.4,2.6,2.9,5.1,0.6,0.5,2.1,2.2,5.5,12.4,0.443,2.1,5.9,0.35,3.4,6.5,0.528,2.4,2.8,0.829,0.435,0.457,0.123,0.355,81.0,80.0,78.0,80.0,98.0,79.0,50.0,90.0,-4.7,114.0,120.0,15.9,1.8,12.3,6.9,28.9,1.2,1.9,13.2,26.1,1.6,1.6,3.2,0.081,1.5,-1.0,0.4,1.1,9,0.563,2024
Donte DiVincenzo,SG,27.0,NYK,79.0,61.0,28.7,15.4,0.8,2.8,3.6,2.7,1.3,0.4,1.4,2.1,5.4,12.3,0.443,3.5,8.6,0.404,1.9,3.6,0.535,1.1,1.4,0.75,1.0,1.031,0.667,1.0,141.0,0.0,182.0,183.0,128.0,178.0,272.0,253.0,-4.2,123.0,116.0,16.2,3.3,12.3,7.8,13.9,2.4,1.5,9.6,21.7,3.6,2.7,6.4,0.135,2.6,0.9,3.5,3.2,3,0.6,2024
Keegan Murray,SF,23.0,SAC,75.0,75.0,33.6,15.2,1.4,4.1,5.4,1.7,1.0,0.8,0.8,2.7,5.7,12.6,0.456,2.3,6.6,0.358,3.4,6.0,0.562,1.3,1.6,0.828,0.429,0.496,0.429,0.0,90.0,79.0,0.0,78.0,96.0,85.0,175.0,0.0,2.6,118.0,118.0,13.3,4.8,15.2,9.9,7.0,1.5,2.1,5.9,18.1,2.3,2.5,4.8,0.092,-0.4,-0.5,-0.9,0.7,9,0.563,2024
Derrick White,SG,29.0,BOS,73.0,73.0,32.6,15.2,0.7,3.5,4.2,5.2,1.0,1.2,1.5,2.1,5.3,11.5,0.461,2.7,6.8,0.396,2.6,4.7,0.555,1.9,2.1,0.901,0.479,0.5,0.239,0.493,89.0,112.0,62.0,88.0,79.0,86.0,98.0,125.0,3.8,128.0,114.0,16.9,2.6,11.9,7.5,21.4,1.6,3.2,11.0,18.8,4.8,3.4,8.3,0.167,2.3,1.4,3.7,3.4,1,0.775,2024
John Collins,PF,26.0,UTA,68.0,66.0,28.0,15.1,2.3,6.1,8.5,1.1,0.6,0.9,1.4,2.8,5.8,11.0,0.532,1.3,3.4,0.371,4.6,7.6,0.605,2.2,2.7,0.795,0.59,0.609,0.176,0.615,98.0,103.0,111.0,108.0,96.0,105.0,72.0,156.0,-4.8,122.0,121.0,17.5,9.9,25.9,18.0,6.1,1.0,2.9,10.6,20.6,2.8,1.4,4.2,0.106,0.5,-1.4,-1.0,0.5,12,0.375,2024
Khris Middleton,SF,32.0,MIL,53.0,53.0,27.0,15.0,0.7,3.9,4.7,5.3,0.9,0.3,2.3,2.6,5.7,11.7,0.492,1.7,4.5,0.382,4.0,7.1,0.562,1.8,2.1,0.83,0.527,0.552,0.183,0.393,97.0,96.0,97.0,96.0,97.0,95.0,75.0,100.0,2.8,117.0,118.0,16.9,3.4,17.1,10.4,28.6,1.7,0.9,15.3,24.0,1.7,1.4,3.1,0.103,1.1,0.0,1.0,1.1,2,0.613,2024
OG Anunoby,SF,26.0,TOR,48.0,48.0,33.9,14.7,0.9,3.3,4.2,2.1,1.3,0.7,1.6,2.3,5.7,11.5,0.491,2.0,5.4,0.376,3.6,6.2,0.591,1.4,1.8,0.767,0.579,0.597,0.155,0.466,104.0,109.0,103.0,106.0,98.0,103.0,63.0,118.0,16.2,115.0,120.0,13.0,3.3,12.0,7.6,9.0,2.0,2.0,11.2,17.8,1.1,1.4,2.4,0.072,-0.9,0.5,-0.3,0.7,12,0.313,2024
Trey Murphy III,SF,23.0,NOP,55.0,22.0,29.4,14.7,0.7,4.1,4.9,2.2,0.9,0.5,0.6,1.2,4.8,10.9,0.438,2.9,7.8,0.372,1.9,3.1,0.602,2.2,2.7,0.812,0.519,0.565,0.344,0.448,93.0,97.0,92.0,95.0,98.0,97.0,141.0,113.0,4.5,127.0,116.0,16.2,3.0,16.5,9.8,10.3,1.5,1.7,4.6,18.9,2.9,2.1,5.0,0.149,2.4,-0.1,2.3,1.8,6,0.6,2024
Deni Avdija,SF,23.0,WAS,73.0,73.0,30.0,14.6,1.2,6.0,7.2,3.8,0.8,0.5,2.1,2.5,5.4,10.6,0.507,1.2,3.1,0.381,4.2,7.5,0.559,2.7,3.6,0.741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,114.0,120.0,15.1,4.4,23.9,13.9,17.8,1.3,1.3,14.8,20.3,1.3,1.6,3.0,0.065,-0.6,-0.1,-0.7,0.7,14,0.188,2024
Tim Hardaway Jr.,SF,31.0,DAL,77.0,10.0,27.1,14.6,0.3,3.0,3.3,1.7,0.5,0.1,0.9,1.4,5.0,12.5,0.404,2.7,7.6,0.355,2.3,4.8,0.48,1.9,2.2,0.856,0.448,0.481,0.15,0.415,82.0,84.0,79.0,82.0,110.0,83.0,61.0,105.0,-5.3,111.0,121.0,12.3,1.3,13.0,7.1,9.0,0.9,0.3,6.2,22.9,0.7,1.4,2.1,0.049,-0.7,-2.1,-2.8,-0.4,5,0.625,2024
Bennedict Mathurin,SF,21.0,IND,59.0,19.0,26.1,14.5,1.0,2.9,4.0,2.0,0.6,0.2,1.6,2.0,5.0,11.2,0.446,1.4,3.6,0.374,3.7,7.6,0.481,3.1,3.8,0.821,0.167,0.291,0.333,0.833,35.0,184.0,0.0,30.0,128.0,50.0,136.0,211.0,-8.3,111.0,122.0,13.0,4.7,13.7,9.2,9.9,1.1,0.7,11.3,23.5,0.5,0.8,1.3,0.041,-1.2,-2.3,-3.5,-0.6,5,0.575,2024
Marcus Smart,PG,29.0,MEM,20.0,20.0,30.3,14.5,0.3,2.4,2.7,4.3,2.1,0.3,3.1,2.7,5.1,11.9,0.43,2.1,6.7,0.313,3.0,5.2,0.583,2.2,2.8,0.768,0.576,0.593,0.168,0.478,100.0,98.0,113.0,105.0,93.0,102.0,69.0,121.0,7.2,101.0,116.0,11.8,1.1,9.6,5.2,22.8,3.4,0.8,19.2,23.2,-0.6,0.8,0.2,0.012,-3.3,0.9,-2.4,-0.1,13,0.338,2024
Dennis Schröder,PG,30.0,TOR,80.0,58.0,31.1,14.0,0.5,2.5,3.0,6.1,0.8,0.2,1.9,2.1,5.0,11.6,0.435,1.7,4.6,0.375,3.3,7.0,0.474,2.2,2.7,0.836,0.561,0.603,0.182,0.545,96.0,98.0,106.0,103.0,128.0,104.0,74.0,138.0,3.3,115.0,123.0,13.3,1.8,10.0,5.8,27.9,1.3,0.6,13.0,20.5,2.0,1.0,3.0,0.058,-0.5,-1.3,-1.8,0.1,12,0.313,2024
Caris LeVert,SG,29.0,CLE,67.0,10.0,28.8,14.0,0.6,3.5,4.1,5.1,1.1,0.5,1.7,1.8,5.1,12.1,0.42,1.6,4.9,0.324,3.5,7.1,0.485,2.3,2.9,0.766,0.344,0.344,0.0,0.188,66.0,56.0,91.0,63.0,0.0,59.0,0.0,47.0,0.1,111.0,115.0,14.6,2.4,14.7,8.7,25.7,2.0,1.6,11.5,23.3,0.7,2.6,3.2,0.081,-0.6,0.8,0.1,1.0,4,0.588,2024
Norman Powell,SG,30.0,LAC,75.0,3.0,26.3,14.0,0.2,2.4,2.6,1.1,0.6,0.3,0.9,1.8,4.9,10.1,0.488,2.2,5.1,0.438,2.7,5.1,0.537,1.9,2.3,0.831,0.0,0.532,2.0,0.0,0.0,0.0,0.0,0.0,128.0,92.0,817.0,0.0,3.2,122.0,122.0,14.0,1.1,10.9,6.2,5.9,1.1,1.0,7.3,20.3,2.8,1.2,3.9,0.096,0.5,-1.2,-0.8,0.6,4,0.638,2024
Bobby Portis,PF,28.0,MIL,80.0,2.0,24.5,13.9,1.7,5.6,7.4,1.3,0.8,0.4,1.1,2.3,5.7,11.3,0.508,1.2,3.0,0.401,4.5,8.3,0.547,1.2,1.5,0.787,0.483,0.529,0.434,0.161,97.0,92.0,71.0,88.0,86.0,91.0,177.0,41.0,-4.9,116.0,115.0,17.6,8.8,27.1,18.2,7.7,1.7,1.3,8.3,23.2,1.9,2.5,4.4,0.109,0.1,-0.9,-0.9,0.6,2,0.613,2024
Aaron Gordon,PF,28.0,DEN,71.0,71.0,31.6,13.9,2.4,4.1,6.5,3.5,0.8,0.6,1.5,2.0,5.5,9.9,0.551,0.5,1.9,0.287,4.9,8.0,0.614,2.4,3.7,0.651,0.2,0.2,0.0,0.2,42.0,46.0,0.0,37.0,0.0,34.0,0.0,51.0,7.7,125.0,117.0,16.5,9.5,15.8,12.7,15.0,1.3,1.7,11.3,18.2,3.9,2.4,6.3,0.135,1.0,0.1,1.1,1.8,1,0.7,2024
Gary Trent Jr.,SG,25.0,TOR,69.0,39.0,28.1,13.8,0.3,2.3,2.7,1.7,1.1,0.1,0.7,1.3,5.1,11.9,0.429,2.5,6.3,0.397,2.6,5.5,0.466,1.0,1.3,0.763,0.475,0.524,0.274,0.415,86.0,84.0,91.0,87.0,105.0,90.0,112.0,105.0,2.9,112.0,123.0,12.3,1.5,10.1,5.7,8.7,2.0,0.5,5.1,20.1,0.8,0.8,1.6,0.04,-1.2,-1.3,-2.5,-0.2,12,0.313,2024
Jabari Smith Jr.,PF,20.0,HOU,74.0,74.0,31.9,13.8,1.8,6.3,8.1,1.5,0.7,0.8,1.2,2.7,5.0,10.9,0.456,1.8,5.0,0.367,3.2,6.0,0.531,2.0,2.4,0.822,0.589,0.612,0.133,0.701,95.0,106.0,108.0,108.0,113.0,106.0,54.0,177.0,-7.5,118.0,115.0,13.9,6.6,23.1,14.8,6.9,1.1,2.3,9.0,17.7,2.1,3.2,5.3,0.108,-0.5,0.1,-0.3,1.0,11,0.488,2024
Jalen Duren,C,20.0,DET,61.0,60.0,29.1,13.8,3.1,8.5,11.6,2.4,0.5,0.8,2.1,3.1,5.7,9.2,0.619,0.0,0.1,0.0,5.7,9.2,0.623,2.3,3.0,0.79,0.526,0.547,0.111,0.544,90.0,91.0,101.0,96.0,111.0,94.0,45.0,138.0,1.2,122.0,117.0,18.7,12.7,34.9,23.7,12.7,0.9,2.3,16.7,18.7,2.7,1.9,4.6,0.124,-0.2,0.1,-0.1,0.9,15,0.163,2024
Scoot Henderson,PG,19.0,POR,61.0,31.0,28.4,13.7,0.8,2.3,3.1,5.4,0.8,0.2,3.5,3.1,4.9,12.7,0.384,1.3,4.3,0.31,3.5,8.4,0.421,2.7,3.3,0.819,0.289,0.31,0.237,0.079,61.0,58.0,0.0,53.0,57.0,53.0,97.0,20.0,-8.9,97.0,122.0,9.2,3.3,10.3,6.6,29.6,1.4,0.6,19.7,26.6,-3.0,0.9,-2.1,-0.058,-3.8,-2.3,-6.1,-1.8,14,0.263,2024
Rudy Gobert,C,31.0,MIN,74.0,74.0,34.1,13.7,3.8,9.2,12.9,1.4,0.7,2.1,1.6,3.1,5.3,8.0,0.654,0.0,0.0,0.0,5.3,8.0,0.657,3.2,5.0,0.635,0.431,0.518,0.448,0.517,80.0,105.0,55.0,79.0,108.0,89.0,183.0,131.0,4.9,131.0,106.0,19.0,14.4,31.7,23.5,5.7,1.0,5.5,13.3,15.5,5.0,5.7,10.8,0.205,0.0,1.7,1.6,2.3,2,0.688,2024
Saddiq Bey,SF,24.0,ATL,63.0,51.0,32.7,13.7,2.7,3.9,6.5,1.5,0.8,0.2,0.9,1.4,4.6,11.1,0.416,1.8,5.7,0.316,2.8,5.4,0.522,2.7,3.2,0.837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,122.0,124.0,13.1,9.2,14.5,11.7,6.0,1.2,0.5,6.4,17.2,2.6,0.8,3.4,0.078,0.2,-2.0,-1.8,0.1,10,0.45,2024
GG Jackson II,PF,19.0,MEM,46.0,16.0,25.0,13.6,1.0,3.0,4.0,1.2,0.5,0.5,1.3,1.3,4.6,11.0,0.421,2.0,5.7,0.35,2.6,5.3,0.496,2.4,3.1,0.757,0.55,0.565,0.073,0.629,90.0,92.0,105.0,101.0,116.0,97.0,30.0,159.0,-2.0,108.0,119.0,13.1,4.7,14.7,9.4,8.2,1.0,1.9,9.6,23.7,-0.1,1.0,0.9,0.038,-0.7,-1.8,-2.5,-0.1,13,0.338,2024
Rui Hachimura,PF,25.0,LAL,66.0,37.0,26.7,13.6,0.8,3.4,4.3,1.2,0.6,0.4,0.7,1.5,5.3,10.0,0.535,1.4,3.4,0.422,3.9,6.6,0.593,1.5,2.0,0.735,0.654,0.669,0.627,0.005,138.0,121.0,0.0,120.0,81.0,115.0,256.0,1.0,6.2,122.0,120.0,15.0,4.0,14.8,9.6,6.2,1.0,1.2,5.8,18.9,2.3,1.4,3.7,0.1,-0.1,-1.0,-1.1,0.4,10,0.563,2024
Naz Reid,C,24.0,MIN,79.0,14.0,24.3,13.4,0.9,4.3,5.3,1.3,0.8,0.9,1.3,2.1,5.0,10.5,0.477,2.1,5.0,0.415,2.9,5.5,0.533,1.3,1.8,0.729,0.554,0.56,0.054,0.725,88.0,95.0,103.0,101.0,93.0,97.0,22.0,184.0,-0.8,112.0,109.0,16.1,5.0,21.2,13.5,8.3,1.6,3.3,10.5,23.3,0.9,3.7,4.7,0.117,0.5,1.1,1.6,1.7,2,0.688,2024
